,depth,mag,stations
1,562,4.8,41
2,650,4.2,15
3,42,5.4,43
4,626,4.1,19
5,649,4,11
6,195,4,12
7,82,4.8,43
8,194,4.4,15
9,211,4.7,35
10,622,4.3,19
11,583,4.4,13
12,249,4.6,16
13,554,4.4,19
14,600,4.4,10
15,139,6.1,94
16,306,4.3,11
17,50,6,83
18,590,4.5,21
19,570,4.4,13
20,598,4.4,18
21,576,4.5,17
22,211,4.2,12
23,512,4.4,18
24,125,4.7,22
25,431,5.4,57
26,537,4,15
27,155,4.6,18
28,498,5.2,79
29,582,4.5,25
30,328,4.4,17
31,553,4.6,21
32,50,4.7,30
33,292,4.8,42
34,349,4,10
35,48,4.5,10
36,600,4.3,13
37,206,4.5,17
38,574,4.6,17
39,585,4.1,17
40,230,4.4,11
41,263,4.7,34
42,96,4.6,32
43,511,4.4,23
44,94,4.3,26
45,246,4.6,27
46,56,4.9,34
47,329,4.5,24
48,70,4.4,18
49,493,4.3,21
50,129,5.1,73
51,554,4.2,13
52,223,4,15
53,46,4.6,26
54,593,4.3,13
55,489,4.2,16
56,562,4.4,31
57,445,4.5,17
58,584,4,11
59,535,4.4,23
60,530,4.3,12
61,582,4.7,35
62,260,4.1,12
63,613,5,61
64,84,4.6,32
65,593,4.9,40
66,286,4.7,25
67,587,4.1,13
68,627,5,45
69,530,4.5,27
70,40,5.5,91
71,152,4,11
72,201,4.5,30
73,96,4.3,14
74,506,5.2,75
75,546,4.4,35
76,564,4.3,15
77,197,4.1,11
78,265,4.5,23
79,323,4.2,15
80,304,5.3,60
81,75,5.2,65
82,367,4.5,27
83,579,4.6,38
84,284,4.3,15
85,450,4,11
86,170,4.3,15
87,117,4.7,32
88,538,4.5,26
89,123,4.2,16
90,69,4.3,42
91,128,5.1,61
92,236,4.7,22
93,497,5.2,64
94,271,4.2,14
95,224,4.2,21
96,375,4,18
97,365,4.5,21
98,306,5.2,54
99,50,5.1,45
100,484,4.7,33
101,108,4.1,12
102,583,4.6,25
103,608,4.7,30
104,72,4.7,22
105,636,4.6,29
106,293,4.2,15
107,42,4.4,25
108,100,4.6,22
109,42,5.7,76
110,146,5,35
111,280,4.5,28
112,388,4.2,14
113,477,4,16
114,617,4.8,39
115,606,4.4,21
116,609,4.2,25
117,46,5.3,67
118,64,4.7,14
119,178,4.8,52
120,248,4.2,13
121,82,4.8,28
122,81,4.3,11
123,606,4.7,27
124,571,4.5,23
125,328,4.4,18
126,49,5.1,43
127,517,4.2,21
